indication_class,molecule_chembl_id,molecule_type,pref_name
Anticholinergic,CHEMBL1240,Small molecule,PROPANTHELINE BROMIDE
Antihistaminic,CHEMBL1241,Small molecule,TRIPELENNAMINE
Analgesic (urinary tract),CHEMBL1242,Small molecule,PHENAZOPYRIDINE
,CHEMBL141305,Small molecule,CYCLOFENIL
,CHEMBL139877,Small molecule,SULFACARBAMIDE
Antibacterial,CHEMBL1243,Small molecule,SULFABENZAMIDE
,CHEMBL142703,Small molecule,VILDAGLIPTIN
Antihypertensive,CHEMBL1245,Small molecule,TRIMETHAPHAN CAMSYLATE
Anti-Androgen,CHEMBL139835,Small molecule,CYPROTERONE ACETATE
Disinfectant,CHEMBL1255,Small molecule,FORMALDEHYDE
Anesthetic (inhalation),CHEMBL1256,Small molecule,ISOFLURANE
Pharmaceutic Aid (air displacement),CHEMBL142438,Small molecule,NITROGEN
Antibacterial,CHEMBL4,Small molecule,OFLOXACIN
Neuromuscular Blocking Agent,CHEMBL1259,Small molecule,METOCURINE
,CHEMBL1261,Small molecule,CITRIC ACID
,CHEMBL144673,Small molecule,HEXETIDINE
Antifungal,CHEMBL1262,Small molecule,OXICONAZOLE
Bronchodilator,CHEMBL1263,Small molecule,SALMETEROL
,CHEMBL414804,Small molecule,OXALIPLATIN
Anti-Acne,CHEMBL1265,Small molecule,ADAPALENE
,CHEMBL146095,Small molecule,GLAFENINE
Adrenergic (vasoconstrictor),CHEMBL1266,Small molecule,TETRAHYDROZOLINE
,CHEMBL1271,Small molecule,PENTOLINIUM
,CHEMBL1272,Small molecule,REPAGLINIDE
Antineoplastic,CHEMBL1274,Small molecule,NILUTAMIDE
Dopamine Agonist,CHEMBL1275,Small molecule,PERGOLIDE MESYLATE
Antimigraine,CHEMBL1278,Small molecule,NARATRIPTAN
,CHEMBL1279,Small molecule,FROVATRIPTAN
Anti-Anginal; Cardiac Depressant (anti-arrhythmic),CHEMBL1280,Small molecule,VERAPAMIL HYDROCHLORIDE
Anticonvulsant; Sedative-Hypnotic,CHEMBL149972,Small molecule,PHENOBARBITAL SODIUM
Immunomodulator,CHEMBL1282,Small molecule,IMIQUIMOD
,CHEMBL1286,Small molecule,LEVETIRACETAM
Antibacterial,CHEMBL1289,Small molecule,HALOPROGIN
Anti-Adrenergic (beta-receptor),CHEMBL1290,Small molecule,PENBUTOLOL
,CHEMBL345524,Small molecule,ANTRAFENINE
"Antihypertensive (beta-blocker, ophthalmic)",CHEMBL1291,Small molecule,METIPRANOLOL
Antibacterial (tuberculostatic); Antibacterial (leprostatic),CHEMBL1292,Small molecule,CLOFAZIMINE
Ultraviolet Screen,CHEMBL1293,Small molecule,BETA CAROTENE
Cardiac Depressant (anti-arrhythmic),CHEMBL1294,Small molecule,QUINIDINE
Antifungal,CHEMBL1295,Small molecule,BUTOCONAZOLE
Antibacterial,CHEMBL1296,Small molecule,CEFOTIAM
Anti-Inflammatory; Analgesic,CHEMBL154111,Small molecule,SALSALATE
"Analgesic; Anti-Inflammatory,Anti-Inflammatory; Analgesic",CHEMBL1297,Small molecule,FENOPROFEN
,CHEMBL345714,Small molecule,ACIPIMOX
Anesthetic (inhalation),CHEMBL1257,Small molecule,ENFLURANE
"Inhibitor (beta-lactamase); Synergist (penicillin/cephalosporin),Synergist (penicillin/cephalosporin); Inhibitor (beta-lactamase)",CHEMBL403,Small molecule,SULBACTAM
Inhibitor (beta-lactamase),CHEMBL404,Small molecule,TAZOBACTAM
Antihistaminic; Serotonin Inhibitor,CHEMBL6437,Small molecule,MIANSERIN
Antidepressant,CHEMBL11,Small molecule,IMIPRAMINE
Antihypertensive; Diuretic,CHEMBL406,Small molecule,INDAPAMIDE
Antagonist (to benzodiazepine),CHEMBL407,Small molecule,FLUMAZENIL
Immunosuppressant,CHEMBL413,Small molecule,SIROLIMUS
Immunosuppressant,CHEMBL269732,Small molecule,TACROLIMUS
Antidepressant,CHEMBL415,Small molecule,CLOMIPRAMINE
Pigmentation Agent,CHEMBL416,Small molecule,METHOXSALEN
Carbonic Anhydrase Inhibitor,CHEMBL17,Small molecule,DICHLORPHENAMIDE
,CHEMBL18,Small molecule,ETHOXZOLAMIDE
Antineoplastic,CHEMBL417,Small molecule,EPIRUBICIN
Carbonic Anhydrase Inhibitor,CHEMBL19,Small molecule,METHAZOLAMIDE
Anti-Inflammatory (gastrointestinal),CHEMBL425,Small molecule,OLSALAZINE
Cardiac Depressant (anti-arrhythmic); Anti-Adrenergic (beta-receptor),CHEMBL27,Small molecule,PROPRANOLOL
Anti-Adrenergic (beta-receptor),CHEMBL6995,Small molecule,PRACTOLOL
Antineoplastic,CHEMBL427,Small molecule,MECHLORETHAMINE
Antibacterial,CHEMBL29,Small molecule,BENZYLPENICILLIN
Antibacterial,CHEMBL428,Small molecule,TROVAFLOXACIN
Antagonist (to histamine-H2 receptors),CHEMBL30,Small molecule,CIMETIDINE
Antibacterial,CHEMBL31,Small molecule,GATIFLOXACIN
Anti-Adrenergic (beta-receptor); Anti-Adrenergic (alpha-receptor),CHEMBL429,Small molecule,LABETALOL
,CHEMBL32,Small molecule,MOXIFLOXACIN
Antibacterial,CHEMBL33,Small molecule,LEVOFLOXACIN
,CHEMBL430,Small molecule,GEMIFLOXACIN
Enzyme Inhibitor (angiotensin-converting),CHEMBL431,Small molecule,SPIRAPRIL
Anticonvulsant,CHEMBL433,Small molecule,VALPROATE SODIUM
Bronchodilator,CHEMBL434,Small molecule,ISOPROTERENOL
Diuretic,CHEMBL435,Small molecule,HYDROCHLOROTHIAZIDE
Diuretic,CHEMBL35,Small molecule,FUROSEMIDE
Diuretic,CHEMBL456,Small molecule,ETHACRYNIC ACID
Diuretic; Uricosuric; Antihypertensive,CHEMBL267744,Small molecule,TICRYNAFEN
Antihyperlipidemic,CHEMBL457,Small molecule,GEMFIBROZIL
,CHEMBL45,Small molecule,MELATONIN
Amino Acid,CHEMBL8085,Small molecule,LYSINE
Anti-Anxiety Agent; Anti-Emetic; Antischizophrenic,CHEMBL46,Small molecule,ONDANSETRON
Tranquilizer (minor),CHEMBL49,Small molecule,BUSPIRONE
Serotonin Antagonist,CHEMBL51,Small molecule,KETANSERIN
Antihypertensive,CHEMBL459,Small molecule,METHYLDOPA
Antipsychotic,CHEMBL460,Small molecule,MOLINDONE
Emetic,CHEMBL53,Small molecule,APOMORPHINE
Antidyskinetic (in gilles de la tourette's disease); Antipsychotic,CHEMBL54,Small molecule,HALOPERIDOL
,CHEMBL55,Small molecule,PENTAMIDINE
Diagnostic Aid (renal function determination),CHEMBL463,Small molecule,AMINOHIPPURIC ACID
Antipsoriatic,CHEMBL464,Small molecule,ETRETINATE
Antiviral,CHEMBL57,Small molecule,NEVIRAPINE
Anti-Emetic,CHEMBL465,Small molecule,DRONABINOL
Antineoplastic,CHEMBL58,Small molecule,MITOXANTRONE
Adrenergic,CHEMBL59,Small molecule,DOPAMINE
Antineoplastic,CHEMBL467,Small molecule,HYDROXYUREA
Antimitotic,CHEMBL61,Small molecule,PODOFILOX
Antibacterial (tuberculostatic),CHEMBL64,Small molecule,ISONIAZID
Sedative-Hypnotic,CHEMBL468,Small molecule,THALIDOMIDE
Analgesic,CHEMBL469,Small molecule,KETOROLAC
Anti-Adrenergic (beta-receptor),CHEMBL471,Small molecule,SOTALOL
Antidiabetic,CHEMBL472,Small molecule,GLYBURIDE
Cardiac Depressant (anti-arrhythmic),CHEMBL473,Small molecule,DOFETILIDE
Antineoplastic,CHEMBL476,Small molecule,DACARBAZINE
Cardiac Depressant (anti-arrhythmic),CHEMBL477,Small molecule,ADENOSINE
"Antipsychotic; Sedative-Hypnotic,Sedative-Hypnotic; Antipsychotic",CHEMBL479,Small molecule,THIORIDAZINE
Anti-Ulcerative,CHEMBL480,Small molecule,LANSOPRAZOLE
