cid,smiles,bioactivity,type,value (nM)
118159176,C[C@@H](C(=O)N1CCC2=C(C1)N=C(C(=N2)NCC(F)F)N3CCC(CC3)OC4=C(C=C(C=C4)F)F)OC,Active,IC50,8300
118159176,C[C@@H](C(=O)N1CCC2=C(C1)N=C(C(=N2)NCC(F)F)N3CCC(CC3)OC4=C(C=C(C=C4)F)F)OC,Active,IC50,8300
118159176,C[C@@H](C(=O)N1CCC2=C(C1)N=C(C(=N2)NCC(F)F)N3CCC(CC3)OC4=C(C=C(C=C4)F)F)OC,Active,IC50,8300
127024762,C[C@@H](CO)NC1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC4=C(C=CC(=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1570
127024157,C[C@@H]1C[C@H]1NC2=NC3=CN=NC=C3N=C2N4CCC(CC4)[C@H](C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,145
118159182,C[C@H](C(=O)N1CCC2=C(C1)N=C(C(=N2)NCC(F)F)N3CCC(CC3)OC4=C(C=C(C=C4)F)F)OC,Active,IC50,6600
118159182,C[C@H](C(=O)N1CCC2=C(C1)N=C(C(=N2)NCC(F)F)N3CCC(CC3)OC4=C(C=C(C=C4)F)F)OC,Active,IC50,6600
118159182,C[C@H](C(=O)N1CCC2=C(C1)N=C(C(=N2)NCC(F)F)N3CCC(CC3)OC4=C(C=C(C=C4)F)F)OC,Active,IC50,6600
155525744,C[C@H](CO)NC1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC4=C(C=CC(=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1570
90037932,C1CC(C1)NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)C(=O)C5=CC=C(C=C5)Cl,Active,IC50,300
90037932,C1CC(C1)NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)C(=O)C5=CC=C(C=C5)Cl,Active,IC50,300
73295084,C1CC(C1)NC2=NC3=C(C=CN=C3)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)F)F,Active,IC50,14
73295084,C1CC(C1)NC2=NC3=C(C=CN=C3)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)F)F,Active,IC50,14
127024247,C1CC1CNC2=NC3=CC=CC=C3N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,3160
127024247,C1CC1CNC2=NC3=CC=CC=C3N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,3160
127024694,C1CC1NC2=NC3=C(C(=NC=C3)C#N)N=C2N4CCN(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,66
127024694,C1CC1NC2=NC3=C(C(=NC=C3)C#N)N=C2N4CCN(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,66
127024707,C1CC1NC2=NC3=C(C(=NC=C3)C(=O)N4CCOCC4)N=C2N5CCC(CC5)[C@@H](C6=C(C=C(C=C6)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,6
127024707,C1CC1NC2=NC3=C(C(=NC=C3)C(=O)N4CCOCC4)N=C2N5CCC(CC5)[C@@H](C6=C(C=C(C=C6)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,6
127024129,C1CC1NC2=NC3=C(C(=NC=C3)C(=O)N4CCOCC4)N=C2N5CCC(CC5)[C@H](C6=C(C=C(C=C6)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,7
127024129,C1CC1NC2=NC3=C(C(=NC=C3)C(=O)N4CCOCC4)N=C2N5CCC(CC5)[C@H](C6=C(C=C(C=C6)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,7
127024297,C1CC1NC2=NC3=C(C=C(C=C3)Br)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,1430
