,cid,smiles,bioactivity,type,value (nM),pIC50
0,118159240,CC(=O)N1CCc2nc(N3CCC(C(=O)c4cc(Cl)ccc4F)CC3)c(NC(C)C)nc2C1,Active,IC50,0.0138,10.860120913598763
1,118180377,CC(C)Nc1nc2c(nc1N1CCC(Oc3ccc(F)cc3F)CC1)CN(C(=O)N(C)C)CC2C,Active,IC50,0.0138,10.860120913598763
2,118180376,CC(=O)N1CCc2nc(N3CCC(Oc4ccc(F)cc4F)[C@H](F)C3)c(NC(C)C)nc2C1,Active,IC50,0.0378,10.422508200162774
3,118180374,CC(C)Nc1nc2c(nc1N1CCC(Oc3ccc(F)cc3F)CC1)CCN(CN1CCOCC1)C2,Active,IC50,0.0626,10.20342566678957
4,127024467,Cc1nccc2nc(NC3CC3)c(N3CCC(Cc4ccc(F)cc4F)CC3)nc12.O=C(O)C(F)(F)F,Active,IC50,2.0,8.698970004336019
5,127024115,CC(C)Nc1nc2cnncc2nc1N1CCC(Oc2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,4.0,8.397940008672037
6,90038977,CN(C)C(=O)c1cc2nc(NC3CC3)c(N3CCC(Oc4ccc(F)cc4F)CC3)nc2cn1,Active,IC50,5.0,8.301029995663981
7,127024707,O=C(O)C(F)(F)F.O=C(c1nccc2nc(NC3CC3)c(N3CCC([C@H](F)c4ccc(F)cc4F)CC3)nc12)N1CCOCC1,Active,IC50,6.0,8.221848749616356
8,127024697,CC(C)Nc1nc2cc(C(=O)N(C)C)ncc2nc1N1CCC(Oc2ccc(Cl)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,6.0,8.221848749616356
9,127024502,CC(C)Nc1nc2cnncc2nc1N1CCC(C(F)c2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,6.0,8.221848749616356
10,127024114,COc1ccc(OC2CCN(c3nc4cnncc4nc3NC(C)C)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,6.0,8.221848749616356
11,127024295,Cc1cc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,6.0,8.221848749616356
12,127024129,O=C(O)C(F)(F)F.O=C(c1nccc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc12)N1CCOCC1,Active,IC50,7.0,8.154901959985743
13,127024301,CC(C)Nc1nc2cnncc2nc1N1CCC(Oc2ccc(Cl)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,7.0,8.154901959985743
14,90038652,Cc1cc2nc(NC3CC3)c(N3CCC(C(F)c4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,7.0,8.154901959985743
15,127024201,CC(C)Nc1nc2cnncc2nc1N1CCC(Oc2ccc(OCF)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,8.0,8.096910013008056
16,127024733,CN(C)C(=O)c1cc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,8.0,8.096910013008056
17,127024466,Cc1nccc2nc(NC3CC3)c(N3CCC(C(F)c4ccc(F)cc4F)CC3)nc12.O=C(O)C(F)(F)F,Active,IC50,9.0,8.045757490560675
18,127024117,CN(C)C(=O)c1cc2nc(NC3CC3)c(N3CCC([C@H](F)c4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,10.0,8.0
19,90038062,N#Cc1cc2nc(NC3CC3)c(N3CCC([C@H](F)c4ccc(F)cc4F)CC3)nc2cn1,Active,IC50,11.0,7.958607314841775
20,90039689,Cc1cc2nc(NC3CC3)c(N3CCC([C@H](F)c4cc(F)ccc4F)CC3)nc2cn1,Active,IC50,11.0,7.958607314841775
21,127024695,COc1ccc(OC2CCN(c3nc4ccncc4nc3NC(C)C)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,12.0,7.920818753952375
22,73295084,Fc1ccc(OC2CCN(c3nc4ccncc4nc3NC3CCC3)CC2)c(F)c1,Active,IC50,14.0,7.853871964321762
23,127024156,CC(C)Nc1nc2cnncc2nc1N1CCC([C@@H](F)c2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,14.0,7.853871964321762
24,127024401,CSc1ccc(OC2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,14.0,7.853871964321762
25,90038234,N#Cc1cc2nc(NC3CC3)c(N3CCC(Cc4ccc(F)cc4F)CC3)nc2cn1,Active,IC50,15.0,7.823908740944319
26,127024346,Fc1ccc([C@H](F)C2CCN(c3nc4cnc(Cl)cc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,15.0,7.823908740944319
27,127024565,COc1ccc(CC2CCN(c3nc4cnncc4nc3NC(C)C)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,15.0,7.823908740944319
28,90038632,Fc1ccc(C(F)(F)C2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c(F)c1,Active,IC50,16.0,7.795880017344075
29,127024252,CC(C)Nc1nc2cc(C(=O)N(C)C)ncc2nc1N1CCC(C(=O)c2cc(F)cc(F)c2)CC1.O=C(O)C(F)(F)F,Active,IC50,16.0,7.795880017344075
